idx,vid,uid,nickname,rewards
102,2120002,9HiwmGjUDwMnM3p39jSDCgyPrQS2,고수가되기까G,1
103,2120002,BiP9Z5gWw2aiZKpzb4QiJx9N9bI3,Ms용가리,1
104,2120002,GfWTHRpoEScjeRX3fpWY1hjmLTh2,한계돌파,1
105,2120002,HswHtbAcTRZOThUYXweBLRvZj252,ijo6611,1
106,2120002,NwC4isG1Q2RhJPfT1ukeLy1dsjR2,l은달l위엄해,1
107,2120002,QUyfRPYCilbHZxjjiL6qrnFEoWr1,수성만돌이ez,1
108,2120002,QfyvPGOtu8MH6hUKJWtTk5c7Rnk2,례성신,1
109,2120002,RZaSU8AB8LY0KAZ1BZOeCsACfEW2,응애나애기다르누스,1
110,2120002,Vgct1cJWDWQSXfIWssl9BcWsdOC3,시베리아산북극곰,1
111,2120002,Vpj4u70FzQhLK6M8JcdVb0PI5yR2,전국노비자랑,1
112,2120002,bz4TVLqeqcQdiAQzRq57wGmzvi32,1sinwoo,1
113,2120002,cEM8cP5kPKMQ8N8Y2XUogcY6oPV2,Waterloo,1
114,2120002,cz9CSpTZS3VbsAuXqsuW7gaoRV93,행인sw,1
115,2120002,gv8jZXmBm4Pcr7MLkqxvNeKazhh2,해무기,1
116,2120002,gxMCAIypHTUZsmVthiNIsCy4Dtk1,하빈하빈,1
117,2120002,h1Z5IW8AfqZzW2PiNnzurn1YTCm1,쀼트롤러,1
118,2120002,h8L53z2sQAPT77DKaezhfKS6MTc2,용뱀래거,1
119,2120002,kiwnoiRjzcPthKrohgvGKljZB8t1,다란즌30,1
120,2120002,n6N5mM8zerUTKo9bMPLER5wckqg1,낑기,1
121,2120002,pE1pWcOE2iV3gBODGCmOlDGY8o22,NinjaKitty,1
122,2120002,pPvdl72LdUYu930Px6gE4bv0Sv42,쿠키맛시계,1
123,2120002,sHGx1RdCN2XKrAEvyA9WXb7bkHm1,정열몬,1
124,2120002,w5j0BQx3T8VnCVzAk4UUUCYcFEL2,비비로사,1
125,2120002,xv7mRYN0OOdY2tt2sudy2K6oBp53,HoneyHoney,1
126,2120002,xxcdlqn1auTh92DMkT753bxY3xl2,거북이전사,1
127,2120002,RXsF2B7cWoM8Z6CwmQDhKFNdVHm2@America,Kaizerin,"1,2,3,4,5,6"
128,2120002,MCyh1oYlclRuvAchkVY7HaAd1DF2@America,TENSUKE,"1,2,3,4"
129,2120002,taYAJhlNYegNRe87fJ6oDrPo1Gu1@America,ShadowSky,"1,2,3,4,5,6"
130,2120002,swRnQfkPKBYL1ElTC73EkAzy3aw2@America,Karreshh,"1,2,3,4"
131,2120002,QPNmup3C4XhBD01PJOHa25ygTug1@America,Ziima,"1,2,3,4"
132,2120002,5ehrwP4Wi3UQunOAOMAoqhKYcGJ2@America,Kakazu,"1,2"
133,2120002,AHjjhgEsGLeDmLzPzauuPBFGNlk2@America,NightHeart,"1,2"
134,2120002,nNvVhGvrNLW6DTwWf0AUxLOeSJe2@America,ShDragon,"1,2"
135,2120002,zHgGcT0bHYMyaJxXRILl1SdXxiC3@America,Samateus,"1,2"
136,2120002,1gkaxsOV94XPQEZDKh9mc9OF03g2@America,Kaiyou,1
137,2120002,HLe5Sfqw6wMXSDvCrMgknKXSzh83@America,JUkboxhero,1
138,2120002,h7DGfGjsuuMeMSw7h1LHNQGsaBh2@America,Mansu1,1
139,2120002,jdFERdghjIZTUwmDXTJwikbPtGv2@America,Tail,1
140,2120002,Ce2N2U17HnOHLguu3Su6bEWLsxa2@America,nikor115,1
141,2120002,Cp2dXLtJGDdGCvK6Vf1nvUS1pM03@America,lance8732,1
142,2120002,wPpaMo2N9pQyxs9eT1jFFizO7X63@America,CynderNova,1
143,2120002,AvzBT7xdOjVUD8Md4IoPxYPSXs72@America,lena99,1
144,2120002,IHn1wmjS4YSY6zmW38M0L8LoPuK2@America,mapleplant,1
145,2120002,mpASuFRRSCctepIFeQx8Uce2Ys62@America,NexusNeo,1
146,2120002,6zHvHWD1iDbwy9rAa6H0v7F8fcc2@Asia,dvm1049145,"1,2,3,4,5,6,7"
147,2120002,2MQDnnyxNHXR8zLCuJVaHNNqIno1@Asia,纹刀,"1,2,3,4"
148,2120002,RF5ZLO5EhCgAZa0nWFOeiVR9JVN2@Asia,BrDJohnny,"1,2,3,4"
149,2120002,XdbI3Yl4oRTVwkHC28RcpE80JNb2@Asia,佾之龍,"1,2,3"
150,2120002,mS0gAafCUrTZFPFAunc7d8dKotG3@Asia,金治,"1,2"
151,2120002,rKN7twznmsVI5mmJPusxxuxIt332@Asia,艾布拉姆斯,"1,2"
152,2120002,xrxVH75qRSR0omFnZSnLl8gWqVk2@Asia,水果味的辰诺,1
153,2120002,0dC798olTVf6QoSauqoVz47ky3o2@Asia,狼色,1
154,2120002,zGwf7NosicZKKfkoqz7w5ZjOfo93@Asia,WeebHunter,1
155,2120002,zqalrTMmOhhSkhNneKLlZgfj5062@Asia,MELIONE12,1
156,2120002,UhHqkW87FLSzwEGcaUrfiP05CQl2@Asia,samknaw,1
157,2120002,uCJkVjI3wye4z7H5a3BJrGGObsH3@Asia,michiyo,1
158,2120002,iBYkgiXYwNZnIkMYWwU0BMwESuk1@Asia,ChiwasWawa,1
159,2120002,G:590815666@Asia,维尔德拉,1
160,2120002,VF7OYtwgk0X15BnW5TNW9op8caz2@Asia,MamMos,1
161,2120002,ZMmntA8hr2fYFaOAIVGnrHdedis1@Asia,dvm1139832,1
162,2120002,5FmUIFupJVQ9tg8xWWy58m4zqfr1@Japan,シリュウ,"1,2"
163,2120002,FgCLUVz9yvhNGCQIdfSrEAd7iMw1@Japan,dvm1060901,"1,2,3"
164,2120002,rVfepVf1hqVHgeTOBYYMnXw3Si33@Japan,咬月IV,"1,2,3,4"
165,2120002,jFYpSswkZ7SVaAgYJfYg5kBmfKM2@Japan,弟切草,"1,2"
166,2120002,7RnJyCy7F2T0SVPItSM1EHUIKr23@Japan,神氏林月,"1,2"
167,2120002,0U5IB6EdutdDn0iaJ9pStO1vfL92@Japan,dvm1003439,"1,2"
168,2120002,xBh7zWuJb7Y2SByBmulL98IRqDn2@Japan,zerolugia,1
169,2120002,xFPv71jERuelIbD3d5Fa0obIgV23@Japan,さあ,1
170,2120002,BuBavxkFABUjEfjJCI6USaKsO1q1@Japan,ジャスト,1
171,2120002,G:10130822071@Japan,ruu422,1
172,2120002,JLgsvFMRYfSs98pHbST2Xyz8uRl1@Japan,鴉泉夜ト,1
173,2120002,Lbcgj2oKLLUkAAMpsZonZYJlgsv1@Japan,ピヨピヨ,1
174,2120002,aeHbsLNv70SKpmHzOi8tJ0F7rZW2@Japan,みるちゃん,1
175,2120002,P22xccIp7NUCRU0dPtYDN09wSDo2@Europe,Vesspurr,"1,2,3"
176,2120002,5awdYrrj6SUjttDKG40R1Jlxtrc2@Europe,Real,"1,2"
177,2120002,BAiZfilDUFUvgtglKAX6IJ8tjA82@Europe,失落的龍絆,1
178,2120002,lzX45ZncypbpLiauAWbcrIA8IQ52@Europe,Wchung2,1
179,2120002,2xpr4GJ483ZBdOGLXi5RLHgnEsS2@Europe,Ruhtinas,1
180,2120002,Gw73b6CHlvfviHF0DVxKj0T0Moi1@Europe,Jino,1
181,2120002,ykil,고니,"1,2,3,4,5,6,7"
